Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0983,10.169007,Trinidad & Tobago Dollar
Average,2012-12-31,2013-12-31,0.0997,10.030886,Trinidad & Tobago Dollar
Average,2012-03-31,2013-03-31,0.0987,10.130469,Trinidad & Tobago Dollar
Average,2011-12-31,2012-12-31,0.0986,10.137330,Trinidad & Tobago Dollar
Average,2011-03-31,2012-03-31,0.0972,10.286721,Trinidad & Tobago Dollar
Average,2010-12-31,2011-12-31,0.0974,10.261809,Trinidad & Tobago Dollar
Average,2010-03-31,2011-03-31,0.1013,9.87538,Trinidad & Tobago Dollar
Average,2009-12-31,2010-12-31,0.102,9.80466,Trinidad & Tobago Dollar
Average,2009-03-31,2010-03-31,0.099352,10.0652,Trinidad & Tobago Dollar
Average,2008-12-31,2009-12-31,0.10148,9.8537,Trinidad & Tobago Dollar
Average,2008-03-31,2009-03-31,0.093269,10.7217,Trinidad & Tobago Dollar
Average,2007-12-31,2008-12-31,0.086286,11.5893,Trinidad & Tobago Dollar
Average,2007-03-31,2008-03-31,0.079013,12.6561,Trinidad & Tobago Dollar
Average,2006-12-31,2007-12-31,0.079269,12.6152,Trinidad & Tobago Dollar
Average,2006-03-31,2007-03-31,0.083964,11.9098,Trinidad & Tobago Dollar
Average,2005-12-31,2006-12-31,0.08635579,11.58,Trinidad & Tobago Dollar
Average,2005-03-31,2006-03-31,0.08937988,11.1882,Trinidad & Tobago Dollar
Average,2004-12-31,2005-12-31,0.087730842,11.3985,Trinidad & Tobago Dollar
Average,2004-03-31,2005-03-31,0.0870474,11.488,Trinidad & Tobago Dollar
Average,2003-12-31,2004-12-31,0.0881026,11.3504,Trinidad & Tobago Dollar
Average,2003-03-31,2004-03-31,0.097554,10.2507,Trinidad & Tobago Dollar
Average,2002-12-31,2003-12-31,0.101003,9.9007,Trinidad & Tobago Dollar
Average,2002-03-31,2003-03-31,0.105539,9.4752,Trinidad & Tobago Dollar
Average,2001-12-31,2002-12-31,0.10882,9.1895,Trinidad & Tobago Dollar
Average,2001-03-28,2002-03-28,0.1139081900,8.779,Trinidad & Tobago Dollar
Average,2000-12-31,2001-12-31,0.1128273403,8.8631,Trinidad & Tobago Dollar
Average,2000-03-31,2001-03-31,0.1083728894,9.2274,Trinidad & Tobago Dollar
Average,1999-12-29,2000-12-29,0.1058593130,9.4465,Trinidad & Tobago Dollar
Average,1999-03-31,2000-03-31,0.1000670449,9.9933,Trinidad & Tobago Dollar
Average,1998-12-30,1999-12-30,0.0995500338,10.0452,Trinidad & Tobago Dollar
Average,1998-03-31,1999-03-31,0.09688,10.322,Trinidad & Tobago Dollar
Average,1997-12-31,1998-12-31,0.096793,10.3313,Trinidad & Tobago Dollar
Average,1997-03-31,1998-03-31,0.098344,10.1684,Trinidad & Tobago Dollar
Average,1996-12-30,1997-12-30,0.098803,10.1211,Trinidad & Tobago Dollar
Average,1996-03-31,1997-03-31,0.105463,9.482,Trinidad & Tobago Dollar
Average,1995-12-31,1996-12-31,0.109171,9.1599,Trinidad & Tobago Dollar
Average,1995-03-31,1996-03-31,0.111883,8.9379,Trinidad & Tobago Dollar
Average,1994-12-30,1995-12-30,0.111098,9.0011,Trinidad & Tobago Dollar
Average,1994-03-31,1995-03-31,0.113843,8.784,Trinidad & Tobago Dollar
Average,1993-12-30,1994-12-30,0.116412,8.5902,Trinidad & Tobago Dollar
Average,1993-03-30,1994-03-30,0.12119,8.2515,Trinidad & Tobago Dollar
Average,1992-12-31,1993-12-31,0.128707,7.7696,Trinidad & Tobago Dollar
Average,1992-03-31,1993-03-31,0.13693,7.303,Trinidad & Tobago Dollar
Average,1991-12-31,1992-12-31,0.1313283,7.6145,Trinidad & Tobago Dollar
Average,1991-03-31,1992-03-31,0.1355877,7.3753,Trinidad & Tobago Dollar
Average,1990-12-31,1991-12-31,0.1330441,7.5163,Trinidad & Tobago Dollar
Average,1990-03-31,1991-03-31,0.125914,7.9419,Trinidad & Tobago Dollar
Average,1989-12-31,1990-12-31,0.131666,7.5950,Trinidad & Tobago Dollar
Average,1989-03-31,1990-03-31,0.144469,6.9219,Trinidad & Tobago Dollar
Average,1988-12-31,1989-12-31,0.143914,6.9486,Trinidad & Tobago Dollar
