Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.1153,8.674986,Zambian Kwacha
Average,2012-12-31,2013-12-31,0.119,8.4061,Zambian Kwacha
Average,2012-03-31,2013-03-31,0.0002,6262.30405,Zambian Kwacha
Average,2011-12-31,2012-12-31,0.0001,8132.805510,Zambian Kwacha
Average,2011-03-31,2012-03-31,0.0001,7837.674736,Zambian Kwacha
Average,2010-12-31,2011-12-31,0.0001,7779.138823,Zambian Kwacha
Average,2010-03-31,2011-03-31,0.0001,7497.68,Zambian Kwacha
Average,2009-12-31,2010-12-31,0.0001,7400.46,Zambian Kwacha
Average,2009-03-31,2010-03-31,0.00012918,7741.14,Zambian Kwacha
Average,2008-12-31,2009-12-31,0.00012705,7870.74,Zambian Kwacha
Average,2008-03-31,2009-03-31,0.00014383,6952.69,Zambian Kwacha
Average,2007-12-31,2008-12-31,0.00014539,6878.11,Zambian Kwacha
Average,2007-03-31,2008-03-31,0.00012872,7769.02,Zambian Kwacha
Average,2006-12-31,2007-12-31,0.00012525,7984.03,Zambian Kwacha
Average,2006-03-31,2007-03-31,0.00013803,7244.9871,Zambian Kwacha
Average,2005-12-31,2006-12-31,0.00015101,6622.279,Zambian Kwacha
Average,2005-03-31,2006-03-31,0.0001368,7310.1153,Zambian Kwacha
Average,2004-12-31,2005-12-31,0.000123,8104.899,Zambian Kwacha
Average,2004-03-31,2005-03-31,0.0001138,8790.4958,Zambian Kwacha
Average,2003-12-31,2004-12-31,0.0001144,8742.492,Zambian Kwacha
Average,2003-03-31,2004-03-31,0.00012,8038.83,Zambian Kwacha
Average,2002-12-31,2003-12-31,0.00013,7809.26,Zambian Kwacha
Average,2002-03-31,2003-03-31,0.00014,7137.79,Zambian Kwacha
Average,2001-12-31,2002-12-31,0.00015,6729.64,Zambian Kwacha
Average,2001-03-28,2002-03-28,0.0001857454,5383.712,Zambian Kwacha
Average,2000-12-31,2001-12-31,0.0001921245,5204.957,Zambian Kwacha
Average,2000-03-31,2001-03-31,0.0001931015,5178.623,Zambian Kwacha
Average,1999-12-29,2000-12-29,0.0002026045,4935.725,Zambian Kwacha
Average,1999-03-31,2000-03-31,0.0002390136,4183.863,Zambian Kwacha
Average,1998-12-30,1999-12-30,0.0002484634,4024.737,Zambian Kwacha
Average,1998-03-31,1999-03-31,0.00028504,3508.3228,Zambian Kwacha
Average,1997-12-31,1998-12-31,0.00031474,3177.2307,Zambian Kwacha
Average,1997-03-31,1998-03-31,0.0004369,2288.8509,Zambian Kwacha
Average,1996-12-30,1997-12-30,0.000461,2167.322,Zambian Kwacha
Average,1996-03-31,1997-03-31,0.000497,2011.703,Zambian Kwacha
Average,1995-12-31,1996-12-31,0.00053,1885.7,Zambian Kwacha
Average,1995-03-31,1996-03-31,0.000675,1480.868,Zambian Kwacha
Average,1994-12-30,1995-12-30,0.000725,1379.15,Zambian Kwacha
Average,1994-03-31,1995-03-31,0.000917,1090.087,Zambian Kwacha
Average,1993-12-30,1994-12-30,0.000963,1038.568,Zambian Kwacha
Average,1993-03-30,1994-03-30,0.001292,773.9128,Zambian Kwacha
Average,1992-12-31,1993-12-31,0.001488,671.9803,Zambian Kwacha
Average,1992-03-31,1993-03-31,0.0025856,386.75,Zambian Kwacha
Average,1992-02-04,1992-12-31,0.003289,304.04,Zambian Kwacha
Average,1992-01-01,1992-02-03,0.0060905,164.19,Zambian Kwacha
Average,1992-02-04,1992-03-31,0.0045657,219.02,Zambian Kwacha
Average,1991-04-01,1992-02-03,0.0079001,126.58,Zambian Kwacha
Average,1990-12-31,1991-12-31,0.0089301,111.98,Zambian Kwacha
Average,1990-03-31,1991-03-31,0.012002,83.316,Zambian Kwacha
Average,1989-12-31,1990-12-31,0.015199,65.793,Zambian Kwacha
Average,1989-03-31,1990-03-31,0.030507,32.779,Zambian Kwacha
Average,1988-12-31,1989-12-31,0.045695,21.884,Zambian Kwacha
