Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.5015,1.994125,Singapore Dollar
Average,2012-12-31,2013-12-31,0.5119,1.9533339,Singapore Dollar
Average,2012-03-31,2013-03-31,0.5088,1.965540,Singapore Dollar
Average,2011-12-31,2012-12-31,0.5048,1.980832,Singapore Dollar
Average,2011-03-31,2012-03-31,0.4986,2.005682,Singapore Dollar
Average,2010-12-31,2011-12-31,0.4962,2.015259,Singapore Dollar
Average,2010-03-31,2011-03-31,0.4826,2.0721,Singapore Dollar
Average,2009-12-31,2010-12-31,0.4738,2.1104,Singapore Dollar
Average,2009-03-31,2010-03-31,0.44016,2.2719,Singapore Dollar
Average,2008-12-31,2009-12-31,0.44032,2.2711,Singapore Dollar
Average,2008-03-31,2009-03-31,0.40636,2.4609,Singapore Dollar
Average,2007-12-31,2008-12-31,0.3827,2.613,Singapore Dollar
Average,2007-03-31,2008-03-31,0.337655,2.9616,Singapore Dollar
Average,2006-12-31,2007-12-31,0.331884,3.0131,Singapore Dollar
Average,2006-03-31,2007-03-31,0.337154,2.966,Singapore Dollar
Average,2005-12-31,2006-12-31,0.341204,2.9308,Singapore Dollar
Average,2005-03-31,2006-03-31,0.337120318,2.9663,Singapore Dollar
Average,2004-12-31,2005-12-31,0.330425588,3.0264,Singapore Dollar
Average,2004-03-31,2005-03-31,0.3232375,3.0937,Singapore Dollar
Average,2003-12-31,2004-12-31,0.3228514,3.0974,Singapore Dollar
Average,2003-03-31,2004-03-31,0.3414,2.9295,Singapore Dollar
Average,2002-12-31,2003-12-31,0.3508,2.8507,Singapore Dollar
Average,2002-03-31,2003-03-31,0.36558,2.7354,Singapore Dollar
Average,2001-12-31,2002-12-31,0.37176,2.6899,Singapore Dollar
Average,2001-03-28,2002-03-28,0.3850300323,2.5972,Singapore Dollar
Average,2000-12-31,2001-12-31,0.3873566780,2.5816,Singapore Dollar
Average,2000-03-31,2001-03-31,0.3891050584,2.57,Singapore Dollar
Average,1999-12-29,2000-12-29,0.3827458185,2.6127,Singapore Dollar
Average,1999-03-31,2000-03-31,0.3665957915,2.7278,Singapore Dollar
Average,1998-12-30,1999-12-30,0.3646973012,2.742,Singapore Dollar
Average,1998-03-31,1999-03-31,0.35983,2.7791,Singapore Dollar
Average,1997-12-31,1998-12-31,0.36112,2.7692,Singapore Dollar
Average,1997-03-31,1998-03-31,0.393329,2.5424,Singapore Dollar
Average,1996-12-30,1997-12-30,0.410458,2.4363,Singapore Dollar
Average,1996-03-31,1997-03-31,0.444286,2.2508,Singapore Dollar
Average,1995-12-31,1996-12-31,0.451977,2.2125,Singapore Dollar
Average,1995-03-31,1996-03-31,0.452899,2.208,Singapore Dollar
Average,1994-12-30,1995-12-30,0.446828,2.238,Singapore Dollar
Average,1994-03-31,1995-03-31,0.431835,2.3157,Singapore Dollar
Average,1993-12-30,1994-12-30,0.427862,2.3372,Singapore Dollar
Average,1993-03-30,1994-03-30,0.4094,2.4426,Singapore Dollar
Average,1992-12-31,1993-12-31,0.406223,2.4617,Singapore Dollar
Average,1992-03-31,1993-03-31,0.3626473,2.7575,Singapore Dollar
Average,1991-12-31,1992-12-31,0.347935,2.8741,Singapore Dollar
Average,1991-03-31,1992-03-31,0.3487601,2.8673,Singapore Dollar
Average,1990-12-31,1991-12-31,0.3275788,3.0527,Singapore Dollar
Average,1990-03-31,1991-03-31,0.303887,3.2907,Singapore Dollar
Average,1989-12-31,1990-12-31,0.310001,3.2258,Singapore Dollar
Average,1989-03-31,1990-03-31,0.320780,3.1174,Singapore Dollar
Average,1988-12-31,1989-12-31,0.313548,3.1893,Singapore Dollar
