Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.2008,4.981088
2013-12-31,0.2025,4.939332
2013-03-31,0.1955,5.113782
2012-12-31,0.1934,5.169414
2012-03-31,0.2098,4.766465
2011-12-31,0.2114,4.731154
2011-03-31,0.2135,4.6846
2010-12-31,0.2146,4.6600
2010-03-31,0.21197,4.7177
2009-12-31,0.20502,4.8775
2009-03-31,0.22218,4.5008
2008-12-31,0.22795,4.3869
2008-03-31,0.192005,5.2082
2007-12-31,0.181855,5.4989
2007-03-31,0.173406395,5.7668
2006-12-31,0.17505164,5.7126
2006-03-31,0.17156,5.8289
2005-12-31,0.17862884,5.5982
2005-03-31,0.165027,6.0596
2004-12-31,0.15004651,6.6646
2004-03-31,0.159378,6.2744
2003-12-31,0.16500289,6.0605
2003-03-31,0.16056,6.2282
2002-12-31,0.16307361,6.1322
2002-03-28,0.1702765291,5.8728
2001-12-31,0.1701722143,5.8764
2001-03-31,0.1556783685,6.4235
2000-12-29,0.1512333076,6.6123
2000-03-31,0.1525413387,6.5556
1999-12-30,0.1548682845,6.4571
1999-03-31,0.16819,5.9455
1998-12-31,0.17187,5.8184
1998-03-31,0.179495,5.5712
1997-12-30,0.1868042,5.3532
1997-03-31,0.225378,4.437
1996-12-31,0.239154,4.1814
1996-03-31,0.261185,3.8287
1995-12-30,0.261945,3.8176
1995-03-31,0.0000377,26469.18
1995-01-01 to 1995-03-31,0.2606134,3.8371
1994-01-01 to 1994-12-30,0.0000283,35290.966
1994-03-30,0.0000343,29127.09
1993-12-31,0.000037,27005.17
1993-03-31,0.0000406,24603
1992-12-31,0.0000418,23900
1992-03-31,0.0000519,19267
1991-12-31,0.0000538,18587
1991-03-31,0.000057,17528
1990-12-31,0.000059,16877
