Average for year to,"Sterling value of currency unit 
          £","Currency units per £ 
          S."
2014-03-31,0.0071,141.435269
2013-12-31,0.0071,140.624264
2010-03-31,0.0074341,134.515
2009-12-31,0.0074639,133.979
2009-03-31,0.0069727,143.417
2008-12-31,0.0066966,149.33
2008-03-31,0.005944,168.25
2007-12-31,0.005753,173.82
2007-03-31,0.005686383,175.8587
2006-12-31,0.005724875,174.6763
2006-03-31,0.00572,174.724
2005-12-31,0.00573047,174.5057
2005-03-31,0.005729,174.5547
2004-12-31,0.00571184,175.0749
2004-03-31,0.005892,169.7237
2003-12-31,0.00589535,169.6251
2003-03-31,0.005425,184.3393
2002-12-31,0.00528131,189.3468
2002-03-28,0.0054781073,182.5448
2001-12-31,0.0055164531,181.2759
2001-03-31,0.0051170971,195.4233
2000-12-29,0.0050734972,197.1027
2000-03-31,0.0053414837,187.2139
1999-12-30,0.0054983664,181.8722
1999-03-31,0.0056968,175.5382
1998-12-31,0.0056262,177.7411
1998-03-31,0.005644,177.1803
1997-12-30,0.0057774,173.0895
1997-03-31,0.006648,150.4152
1996-12-31,0.006919,144.5258
1996-03-31,0.007084,141.1721
1995-12-30,0.006951,143.8587
1995-03-31,0.006562,152.4023
1994-12-30,0.006506,153.7129
1994-03-30,0.006486,154.185
1993-12-31,0.006595,151.6225
1993-03-31,0.00622,160.77
1992-12-31,0.0059516,168.02
1992-03-31,0.0058092,172.14
1991-12-31,0.0057863,172.82
1991-03-31,0.005716,174.94
1990-12-31,0.005774,173.20
