Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0079,126.062557
Average,2012-12-31,2013-12-31,0.008,124.489188
Average,2012-03-31,2013-03-31,0.0081,124.193788
Average,2011-12-31,2012-12-31,0.0081,123.093387
Average,2011-03-31,2012-03-31,0.0085,117.228973
Average,2010-12-31,2011-12-31,0.0085,117.053862
Average,2010-03-31,2011-03-31,0.0087,114.760
Average,2009-12-31,2010-12-31,0.0088,114.004
Average,2009-03-31,2010-03-31,0.0086453,115.670
Average,2008-12-31,2009-12-31,0.0088204,113.373
Average,2008-03-31,2009-03-31,0.0088678,112.768
Average,2007-12-31,2008-12-31,0.0083588,119.634
Average,2007-03-31,2008-03-31,0.007295,137.08
Average,2006-12-31,2007-12-31,0.007177,139.34
Average,2006-03-31,2007-03-31,0.00730342,136.9221
Average,2005-12-31,2006-12-31,0.0074619,134.0142
Average,2005-03-31,2006-03-31,0.007671,130.3635
Average,2004-12-31,2005-12-31,0.0075579,132.3118
Average,2004-03-31,2005-03-31,0.007523,132.9205
Average,2003-12-31,2004-12-31,0.007605,131.4975
Average,2003-03-31,2004-03-31,0.007895,126.6578
Average,2002-12-31,2003-12-31,0.007949,125.8034
Average,2002-03-31,2003-03-31,0.008132,122.9761
Average,2001-12-31,2002-12-31,0.008395,119.1138
Average,2001-03-28,2002-03-28,0.0090069155,111.0258
Average,2000-12-31,2001-12-31,0.0090747478,110.1959
Average,2000-03-30,2001-03-30,0.0089359835,111.9071
Average,1999-12-29,2000-12-29,0.0088727444,112.7047
Average,1999-03-31,2000-03-31,0.0091463443,109.3333
Average,1998-12-30,1999-12-30,0.0093322408,107.1554
Average,1998-03-31,1999-03-31,0.01008,99.2018
Average,1997-12-31,1998-12-31,0.010218,97.8645
Average,1997-03-31,1998-03-31,0.010374,96.3977
Average,1996-12-30,1997-12-30,0.010489,95.3397
Average,1996-03-31,1997-03-31,0.01128,88.6549
Average,1995-12-31,1996-12-31,0.011666,85.7181
Average,1995-03-31,1996-03-31,0.012945,77.2512
Average,1994-12-30,1995-12-30,0.013556,73.7664
Average,1994-04-15,1995-03-31,0.0156146,64.0424
Average,1994-04-01,1994-04-14,0.0275191,36.3383
Average,1994-04-15,1994-12-30,0.0166238,60.1544
Average,1994-01-01,1994-04-14,0.0299955,33.3383
Average,1993-03-30,1994-03-30,0.029832,33.5209
Average,1992-12-31,1993-12-31,0.03035,32.9494
Average,1992-03-31,1993-03-31,0.0273067,36.621
Average,1991-12-31,1992-12-31,0.0264389,37.823
Average,1991-03-31,1992-03-31,0.0292004,34.246
Average,1990-12-31,1991-12-31,0.0316085,31.637
Average,1990-03-31,1991-03-31,0.045434,22.010
Average,1989-12-31,1990-12-31,0.064927,15.402
Average,1989-03-31,1990-03-31,0.082665,12.097
Average,1988-12-31,1989-12-31,0.090090,11.100
