Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0017,600.03614
2013-12-31,0.0017,591.439254
2013-03-31,0.0017,597.903784
2012-12-31,0.0017,598.385187
2012-03-31,0.0016,607.415657
2011-12-31,0.0016,606.220352
2011-03-31,0.0017,587.473
2010-12-31,0.0017,582.837
2008-03-31,"0.000016574 (06.09.07 to 31.03.08)
          0.0019976 (01.04.07 to 05.09.07)","60335.72 (06.09.07 to 31.03.08)
          500.60 (01.04.07 to 05.09.07)"
2007-12-31,"0.000016379 (06.09.07 to 31.12.03)
          0.00201596 (01.01.07 to 05.09.07)","61053.83 (06.09.07 to 31.12.07)
          496.04 (01.01.07 to 05.09.07)"
2007-03-31,0.00207874 (04.08.06 to 31.03.07,481.06 (04.08.06 to 31.03.07)
2006-12-31,0.00209806 (04.08.06 to 31.12.06),476.63 (04.08.06 to 31.12.06)
2006-08-03,"0.00000540138 (01.04.06 to 03.08.06)
          0.00000558812 (01.01.06 to 03.08.06)","185137.83 (01.04.06 to 03.08.06)
          178951.06 (01.01.06 to 03.08.06)"
2006-03-31,"0.0000069 (22.10.05 to 31.03.06)
          0.000036 (01.04.05 to 21.10.05)","144586.5 (22.10.05 to 31.03.06
          27676.3 (01.04.05 to 21.10.05"
2005-12-31,"0.00000844 (22.10.05 to 31.12.05)
          0.0000439 (01.01.05 to 21.10.05)","118470.7(22.10.05 to 31.12.05)
          22764.44 (01.01.05 to 21.10.05)"
2005-03-31,0.00009675,10335.445
2004-12-31,"01.01.04 - 23.1.04 = 0.00947867
          24.01.04 - 31.12.04 = 0.00010729","01.01.04 - 23.01.04 = 1505.5
          24.01.04 - 31.12.04 = 9319.984"
2004-03-31,0.0004,2499.284
2003-12-31,0.000876,1141.414
2003-03-31,0.005347,187.0132
2002-12-31,0.01199,83.4043
2002-03-28,0.0126018227,79.3536
2001-12-31,0.0125544549,79.653
2001-03-31,0.0139127338,71.8766
2000-12-29,0.0148984004,67.1213
2000-03-31,0.0162484056,61.5445
1999-12-30,0.0160937040,62.1361
1999-03-31,0.020718,48.2683
1998-12-31,0.025356,39.4382
1998-03-31,0.044182,22.6336
1997-12-30,0.049892,20.043
1997-03-31,0.060418,16.5514
1996-12-31,0.063844,15.6631
1996-03-31,0.07141,14.0036
1995-12-30,0.072954,13.7073
1995-03-31,0.078188,12.7897
1994-12-30,0.079705,12.5462
1994-03-30,0.095202,10.504
1993-12-31,0.102869,9.7211
1993-03-31,0.110802,9.0251
1992-12-31,0.1113734,8.9788
1992-03-31,0.1362992,7.3368
1991-12-31,0.1565876,6.3862
1991-03-31,0.204666,4.8860
1990-12-31,0.228430,4.3777
1990-03-31,0.273800,3.6523
1989-12-31,0.288667,3.4642
